-7.43740  -1.22180  0.0
-7.43740  -1.18830  0.0
-7.43740  -1.15480  0.0
-7.43740  -1.12130  0.0
-7.43740  -1.08790  0.0
-7.43740  -1.05440  0.0
-7.43740  -1.02090  0.0
-7.43740  -0.98745  0.0
-7.43740  -0.95397  0.0
-7.43740  -0.92050  0.0
-7.43740  -0.88703  0.0
-7.43740  -0.85356  0.0
-7.43740  -0.82008  0.0
-7.43740  -0.78661  0.0
-7.43740  -0.75314  0.0
-7.43740  -0.71967  0.0
-7.43740  -0.68619  0.0
-7.43740  -0.65272  0.0
-7.43740  -0.61925  0.0
-7.43740  -0.58577  0.0
-7.43740  -0.55230  0.0
-7.43740  -0.51883  0.0
-7.43740  -0.48536  0.0
-7.43740  -0.45188  0.0
-7.43740  -0.41841  0.0
-7.43740  -0.38494  0.0
-7.43740  -0.35146  0.0
-7.43740  -0.31799  0.0
-7.43740  -0.28452  0.0
-7.43740  -0.25105  0.0
-7.43740  -0.21757  0.0
-7.43740  -0.18410  0.0
-7.43740  -0.15063  0.0
-7.43740  -0.11715  0.0
-7.43740  -0.08368  0.0
-7.43740  -0.05021  0.0
-7.43740  -0.01674  0.0
-7.43740  0.01674  0.0
-7.43740  0.05021  0.0
-7.43740  0.08368  0.0
-7.43740  0.11715  0.0
-7.43740  0.15063  0.0
-7.43740  0.18410  0.0
-7.43740  0.21757  0.0
-7.43740  0.25105  0.0
-7.43740  0.28452  0.0
-7.43740  0.31799  0.0
-7.43740  0.35146  0.0
-7.43740  0.38494  0.0
-7.43740  0.41841  0.0
-7.43740  0.45188  0.0
-7.43740  0.48536  0.0
-7.43740  0.51883  0.0
-7.43740  0.55230  0.0
-7.43740  0.58577  0.0
-7.43740  0.61925  0.0
-7.43740  0.65272  0.0
-7.43740  0.68619  0.0
-7.43740  0.71967  0.0
-7.43740  0.75314  0.0
-7.43740  0.78661  0.0
-7.43740  0.82008  0.0
-7.43740  0.85356  0.0
-7.43740  0.88703  0.0
-7.43740  0.92050  0.0
-7.43740  0.95397  0.0
-7.43740  0.98745  0.0
-7.43740  1.02090  0.0
-7.43740  1.05440  0.0
-7.43740  1.08790  0.0
-7.43740  1.12130  0.0
-7.43740  1.15480  0.0
-7.43740  1.18830  0.0
-7.43740  1.22180  0.0
-7.43740  1.25520  0.0
-7.43740  1.28870  0.0
-7.43740  1.32220  0.0
-7.43740  1.35560  0.0
-7.43740  1.38910  0.0
-7.43740  1.42260  0.0
-7.43740  1.45610  0.0
-7.43740  1.48950  0.0
-7.43740  1.52300  0.0
-7.43740  1.55650  0.0
-7.43740  1.59000  0.0
-7.43740  1.62340  0.0
-7.43740  1.65690  0.0
-7.43740  1.69040  0.0
-7.43740  1.72380  0.0
-7.43740  1.75730  0.0
-7.43740  1.79080  0.0
-7.43740  1.82430  0.0
-7.43740  1.85770  0.0
-7.43740  1.89120  0.0
-7.43740  1.92470  0.0
-7.43740  1.95820  0.0
-7.43740  1.99160  0.0
-7.43740  2.02510  0.0
-7.43740  2.05860  0.0
-7.43740  2.09210  0.0
-7.43740  2.12550  0.0
-7.43740  2.15900  0.0
-7.43740  2.19250  0.0
-7.43740  2.22590  0.0
-7.43740  2.25940  0.0
-7.43740  2.29290  0.0
-7.43740  2.32640  0.0
-7.43740  2.35980  0.0
-7.43740  2.39330  0.0
-7.43740  2.42680  0.0
-7.43740  2.46030  0.0
-7.43740  2.49370  0.0
-7.43740  2.52720  0.0
-7.43740  2.56070  0.0
-7.43740  2.59410  0.0
-7.43740  2.62760  0.0
-7.43740  2.66110  0.0
-7.43740  2.69460  0.0
-7.43740  2.72800  0.0
-7.43740  2.76150  0.0
-7.43740  2.79500  0.0
-7.43740  2.82850  0.0
-7.43740  2.86190  0.0
-7.43740  2.89540  0.0
-7.43740  2.92890  0.0
-7.43740  2.96230  0.0
-7.43740  2.99580  0.0
-7.43740  3.02930  0.0
-7.43740  3.06280  0.0
-7.43740  3.09620  0.0
-7.43740  3.12970  0.0
-7.43740  3.16320  0.0
-7.43740  3.19670  0.0
-7.43740  3.23010  0.0
-7.43740  3.26360  0.0
-7.43740  3.29710  0.0
-7.43740  3.33050  0.0
-7.43740  3.36400  0.0
-7.43740  3.39750  0.0
-7.43740  3.43100  0.0
-7.43740  3.46440  0.0
-7.43740  3.49790  0.0
-7.43740  3.53140  0.0
-7.43740  3.56490  0.0
-7.43740  3.59830  0.0
-7.43740  3.63180  0.0
-7.43740  3.66530  0.0
-7.43740  3.69870  0.0
-7.43740  3.73220  0.0
-7.43740  3.76570  0.0
-7.43740  3.79920  0.0
-7.43740  3.83260  0.0
-7.43740  3.86610  0.0
-7.43740  3.89960  0.0
-7.43740  3.93310  0.0
-7.43740  3.96650  0.0
-7.43740  4.00000  0.0
-7.40610  -4.00000  0.0
-7.40610  -3.96650  0.0
-7.40610  -3.93310  0.0
-7.40610  -3.89960  0.0
-7.40610  -3.86610  0.0
-7.40610  -3.83260  0.0
-7.40610  -3.79920  0.0
-7.40610  -3.76570  0.0
-7.40610  -3.73220  0.0
-7.40610  -3.69870  0.0
-7.40610  -3.66530  0.0
-7.40610  -3.63180  0.0
-7.40610  -3.59830  0.0
-7.40610  -3.56490  0.0
-7.40610  -3.53140  0.0
-7.40610  -3.49790  0.0
-7.40610  -3.46440  0.0
-7.40610  -3.43100  0.0
-7.40610  -3.39750  0.0
-7.40610  -3.36400  0.0
-7.40610  -3.33050  0.0
-7.40610  -3.29710  0.0
-7.40610  -3.26360  0.0
-7.40610  -3.23010  0.0
-7.40610  -3.19670  0.0
-7.40610  -3.16320  0.0
-7.40610  -3.12970  0.0
-7.40610  -3.09620  0.0
-7.40610  -3.06280  0.0
-7.40610  -3.02930  0.0
-7.40610  -2.99580  0.0
-7.40610  -2.96230  0.0
-7.40610  -2.92890  0.0
-7.40610  -2.89540  0.0
-7.40610  -2.86190  0.0
-7.40610  -2.82850  0.0
-7.40610  -2.79500  0.0
-7.40610  -2.76150  0.0
-7.40610  -2.72800  0.0
-7.40610  -2.69460  0.0
-7.40610  -2.66110  0.0
-7.40610  -2.62760  0.0
-7.40610  -2.59410  0.0
-7.40610  -2.56070  0.0
-7.40610  -2.52720  0.0
-7.40610  -2.49370  0.0
-7.40610  -2.46030  0.0
-7.40610  -2.42680  0.0
-7.40610  -2.39330  0.0
-7.40610  -2.35980  0.0
